Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/25/20 17:00,761,40,32
Guangdong,China,1/25/20 17:00,78,,2
Zhejiang,China,1/25/20 17:00,62,,1
Chongqing,China,1/25/20 17:00,57,,
Hunan,China,1/25/20 17:00,43,,
Beijing,China,1/25/20 17:00,41,,2
Anhui,China,1/25/20 17:00,39,,
Shanghai,China,1/25/20 17:00,33,,1
Henan,China,1/25/20 17:00,32,,
Sichuan,China,1/25/20 17:00,28,,
Shandong,China,1/25/20 17:00,27,,
Guangxi,China,1/25/20 17:00,23,,
Hainan,China,1/25/20 17:00,19,,
Jiangxi,China,1/25/20 17:00,18,,
Fujian,China,1/25/20 17:00,18,,
Jiangsu,China,1/25/20 17:00,18,,1
Liaoning,China,1/25/20 17:00,17,,
Shaanxi,China,1/25/20 17:00,15,,
Yunnan,China,1/25/20 17:00,11,,
Tianjin,China,1/25/20 17:00,10,,
Heilongjiang,China,1/25/20 17:00,9,1,
Hebei,China,1/25/20 17:00,8,1,
Inner Mongolia,China,1/25/20 17:00,7,,
Shanxi,China,1/25/20 17:00,6,,
Hong Kong,Hong Kong,1/25/20 17:00,5,,
Guizhou,China,1/25/20 17:00,4,,
Jilin,China,1/25/20 17:00,4,,
Gansu,China,1/25/20 17:00,4,,
Ningxia,China,1/25/20 17:00,3,,
Taiwan,Taiwan,1/25/20 17:00,3,,
Xinjiang,China,1/25/20 17:00,3,,
Macau,Macau,1/25/20 17:00,2,,
Qinghai,China,1/25/20 17:00,1,,
Washington,US,1/25/20 17:00,1,,
Illinois,US,1/25/20 17:00,1,,
,Japan,1/25/20 17:00,2,,
,Thailand,1/25/20 17:00,7,,
,South Korea,1/25/20 17:00,2,,
,Singapore,1/25/20 17:00,3,,
,Vietnam,1/25/20 17:00,2,,
,France,1/25/20 17:00,3,,
,Australia,1/25/20 17:00,4,,
,Nepal,1/25/20 17:00,1,,
,Malaysia,1/25/20 17:00,3,,
